county,state,state_abb,year,total_population
madison county,indiana,IN,2014,129736
madison county,indiana,IN,2015,129388
madison county,indiana,IN,2016,129329
madison county,indiana,IN,2017,129418
madison county,indiana,IN,2018,129573
madison county,indiana,IN,2019,129569
marion county,indiana,IN,2010,904591
marion county,indiana,IN,2011,911217
marion county,indiana,IN,2012,919786
marion county,indiana,IN,2013,929922
marion county,indiana,IN,2014,935935
marion county,indiana,IN,2015,939843
marion county,indiana,IN,2016,945685
marion county,indiana,IN,2017,950537
marion county,indiana,IN,2018,958700
marion county,indiana,IN,2019,964582
marshall county,indiana,IN,2010,47000
marshall county,indiana,IN,2011,46938
marshall county,indiana,IN,2012,46942
marshall county,indiana,IN,2013,46910
marshall county,indiana,IN,2014,46920
marshall county,indiana,IN,2015,46733
marshall county,indiana,IN,2016,46586
marshall county,indiana,IN,2017,46433
marshall county,indiana,IN,2018,46296
marshall county,indiana,IN,2019,46258
martin county,indiana,IN,2010,10359
martin county,indiana,IN,2011,10336
martin county,indiana,IN,2012,10317
martin county,indiana,IN,2013,10233
martin county,indiana,IN,2014,10238
martin county,indiana,IN,2015,10216
martin county,indiana,IN,2016,10190
martin county,indiana,IN,2017,10181
martin county,indiana,IN,2018,10219
martin county,indiana,IN,2019,10255
miami county,indiana,IN,2010,36810
miami county,indiana,IN,2011,36649
miami county,indiana,IN,2012,36529
miami county,indiana,IN,2013,36167
miami county,indiana,IN,2014,36070
miami county,indiana,IN,2015,36004
miami county,indiana,IN,2016,36043
miami county,indiana,IN,2017,35864
miami county,indiana,IN,2018,35646
miami county,indiana,IN,2019,35516
monroe county,indiana,IN,2010,138566
monroe county,indiana,IN,2011,140233
monroe county,indiana,IN,2012,141484
monroe county,indiana,IN,2013,142068
monroe county,indiana,IN,2014,143403
monroe county,indiana,IN,2015,144247
monroe county,indiana,IN,2016,145757
monroe county,indiana,IN,2017,146638
monroe county,indiana,IN,2018,147230
monroe county,indiana,IN,2019,148431
montgomery county,indiana,IN,2010,38098
montgomery county,indiana,IN,2011,38338
montgomery county,indiana,IN,2012,38177
montgomery county,indiana,IN,2013,38137
montgomery county,indiana,IN,2014,38150
montgomery county,indiana,IN,2015,38243
montgomery county,indiana,IN,2016,38238
montgomery county,indiana,IN,2017,38343
montgomery county,indiana,IN,2018,38274
montgomery county,indiana,IN,2019,38338
morgan county,indiana,IN,2010,69138
morgan county,indiana,IN,2011,69233
morgan county,indiana,IN,2012,69177
morgan county,indiana,IN,2013,69344
morgan county,indiana,IN,2014,69495
morgan county,indiana,IN,2015,69559
morgan county,indiana,IN,2016,69633
morgan county,indiana,IN,2017,69793
morgan county,indiana,IN,2018,70137
morgan county,indiana,IN,2019,70489
newton county,indiana,IN,2010,14233
newton county,indiana,IN,2011,14086
newton county,indiana,IN,2012,14043
newton county,indiana,IN,2013,14028
newton county,indiana,IN,2014,14087
newton county,indiana,IN,2015,13971
newton county,indiana,IN,2016,13992
newton county,indiana,IN,2017,14027
newton county,indiana,IN,2018,13986
newton county,indiana,IN,2019,13984
noble county,indiana,IN,2010,47454
noble county,indiana,IN,2011,47294
noble county,indiana,IN,2012,47190
noble county,indiana,IN,2013,47240
noble county,indiana,IN,2014,47367
noble county,indiana,IN,2015,47515
noble county,indiana,IN,2016,47398
noble county,indiana,IN,2017,47329
noble county,indiana,IN,2018,47543
noble county,indiana,IN,2019,47744
ohio county,indiana,IN,2010,6086
ohio county,indiana,IN,2011,6052
ohio county,indiana,IN,2012,6055
ohio county,indiana,IN,2013,5986
ohio county,indiana,IN,2014,5957
ohio county,indiana,IN,2015,5877
ohio county,indiana,IN,2016,5885
ohio county,indiana,IN,2017,5854
ohio county,indiana,IN,2018,5879
ohio county,indiana,IN,2019,5875
orange county,indiana,IN,2010,19814
orange county,indiana,IN,2011,19945
orange county,indiana,IN,2012,19747
orange county,indiana,IN,2013,19835
orange county,indiana,IN,2014,19771
orange county,indiana,IN,2015,19634
orange county,indiana,IN,2016,19473
orange county,indiana,IN,2017,19423
orange county,indiana,IN,2018,19548
orange county,indiana,IN,2019,19646
owen county,indiana,IN,2010,21566
owen county,indiana,IN,2011,21489
owen county,indiana,IN,2012,21368
owen county,indiana,IN,2013,21153
owen county,indiana,IN,2014,21019
owen county,indiana,IN,2015,20826
owen county,indiana,IN,2016,20898
owen county,indiana,IN,2017,20791
owen county,indiana,IN,2018,20862
owen county,indiana,IN,2019,20799
parke county,indiana,IN,2010,17275
parke county,indiana,IN,2011,17084
parke county,indiana,IN,2012,17118
parke county,indiana,IN,2013,17237
parke county,indiana,IN,2014,17236
parke county,indiana,IN,2015,16970
parke county,indiana,IN,2016,16938
parke county,indiana,IN,2017,16907
parke county,indiana,IN,2018,16978
parke county,indiana,IN,2019,16937
perry county,indiana,IN,2010,19409
perry county,indiana,IN,2011,19423
perry county,indiana,IN,2012,19371
perry county,indiana,IN,2013,19417
perry county,indiana,IN,2014,19334
perry county,indiana,IN,2015,19310
perry county,indiana,IN,2016,18978
perry county,indiana,IN,2017,18978
perry county,indiana,IN,2018,19077
perry county,indiana,IN,2019,19169
pike county,indiana,IN,2010,12720
pike county,indiana,IN,2011,12596
pike county,indiana,IN,2012,12618
pike county,indiana,IN,2013,12495
pike county,indiana,IN,2014,12490
pike county,indiana,IN,2015,12407
pike county,indiana,IN,2016,12391
pike county,indiana,IN,2017,12315
pike county,indiana,IN,2018,12388
pike county,indiana,IN,2019,12389
porter county,indiana,IN,2010,164487
porter county,indiana,IN,2011,165511
porter county,indiana,IN,2012,165702
porter county,indiana,IN,2013,166478
porter county,indiana,IN,2014,167166
porter county,indiana,IN,2015,167334
porter county,indiana,IN,2016,167475
porter county,indiana,IN,2017,168495
porter county,indiana,IN,2018,169488
porter county,indiana,IN,2019,170389
posey county,indiana,IN,2010,25861
posey county,indiana,IN,2011,25695
posey county,indiana,IN,2012,25616
posey county,indiana,IN,2013,25561
posey county,indiana,IN,2014,25603
posey county,indiana,IN,2015,25613
posey county,indiana,IN,2016,25639
posey county,indiana,IN,2017,25569
posey county,indiana,IN,2018,25554
posey county,indiana,IN,2019,25427
pulaski county,indiana,IN,2010,13323
pulaski county,indiana,IN,2011,13229
pulaski county,indiana,IN,2012,13009
pulaski county,indiana,IN,2013,12939
pulaski county,indiana,IN,2014,12916
pulaski county,indiana,IN,2015,12804
pulaski county,indiana,IN,2016,12618
pulaski county,indiana,IN,2017,12529
pulaski county,indiana,IN,2018,12492
pulaski county,indiana,IN,2019,12353
putnam county,indiana,IN,2010,37909
putnam county,indiana,IN,2011,37867
putnam county,indiana,IN,2012,37640
putnam county,indiana,IN,2013,37494
putnam county,indiana,IN,2014,37451
putnam county,indiana,IN,2015,37382
putnam county,indiana,IN,2016,37113
putnam county,indiana,IN,2017,37363
putnam county,indiana,IN,2018,37486
putnam county,indiana,IN,2019,37576
randolph county,indiana,IN,2010,26178
randolph county,indiana,IN,2011,26033
randolph county,indiana,IN,2012,25857
randolph county,indiana,IN,2013,25617
randolph county,indiana,IN,2014,25331
randolph county,indiana,IN,2015,25138
randolph county,indiana,IN,2016,25112
randolph county,indiana,IN,2017,24907
randolph county,indiana,IN,2018,24806
randolph county,indiana,IN,2019,24665
ripley county,indiana,IN,2010,28815
ripley county,indiana,IN,2011,28645
ripley county,indiana,IN,2012,28447
ripley county,indiana,IN,2013,28296
ripley county,indiana,IN,2014,28340
ripley county,indiana,IN,2015,28372
ripley county,indiana,IN,2016,28381
ripley county,indiana,IN,2017,28428
ripley county,indiana,IN,2018,28450
ripley county,indiana,IN,2019,28324
rush county,indiana,IN,2010,17384
rush county,indiana,IN,2011,17285
rush county,indiana,IN,2012,17108
rush county,indiana,IN,2013,16996
rush county,indiana,IN,2014,16845
rush county,indiana,IN,2015,16708
rush county,indiana,IN,2016,16639
rush county,indiana,IN,2017,16643
rush county,indiana,IN,2018,16635
rush county,indiana,IN,2019,16581
st joseph county,indiana,IN,2010,266797
st joseph county,indiana,IN,2011,266680
st joseph county,indiana,IN,2012,266492
st joseph county,indiana,IN,2013,267054
st joseph county,indiana,IN,2014,267848
st joseph county,indiana,IN,2015,268361
st joseph county,indiana,IN,2016,269862
st joseph county,indiana,IN,2017,270057
st joseph county,indiana,IN,2018,270972
st joseph county,indiana,IN,2019,271826
scott county,indiana,IN,2010,24171
scott county,indiana,IN,2011,23907
scott county,indiana,IN,2012,23723
scott county,indiana,IN,2013,23755
scott county,indiana,IN,2014,23636
scott county,indiana,IN,2015,23660
scott county,indiana,IN,2016,23687
scott county,indiana,IN,2017,23793
scott county,indiana,IN,2018,23784
scott county,indiana,IN,2019,23873
shelby county,indiana,IN,2010,44297
shelby county,indiana,IN,2011,44280
shelby county,indiana,IN,2012,44257
shelby county,indiana,IN,2013,44333
shelby county,indiana,IN,2014,44358
shelby county,indiana,IN,2015,44341
shelby county,indiana,IN,2016,44229
shelby county,indiana,IN,2017,44367
shelby county,indiana,IN,2018,44522
shelby county,indiana,IN,2019,44729
spencer county,indiana,IN,2010,20915
spencer county,indiana,IN,2011,20969
spencer county,indiana,IN,2012,20783
spencer county,indiana,IN,2013,20762
spencer county,indiana,IN,2014,20762
spencer county,indiana,IN,2015,20640
spencer county,indiana,IN,2016,20491
spencer county,indiana,IN,2017,20440
spencer county,indiana,IN,2018,20385
spencer county,indiana,IN,2019,20277
starke county,indiana,IN,2010,23345
starke county,indiana,IN,2011,23171
starke county,indiana,IN,2012,23160
starke county,indiana,IN,2013,23139
starke county,indiana,IN,2014,22956
starke county,indiana,IN,2015,22860
starke county,indiana,IN,2016,23019
starke county,indiana,IN,2017,22935
starke county,indiana,IN,2018,22951
starke county,indiana,IN,2019,22995
steuben county,indiana,IN,2010,34109
steuben county,indiana,IN,2011,34068
steuben county,indiana,IN,2012,34158
steuben county,indiana,IN,2013,34371
steuben county,indiana,IN,2014,34491
steuben county,indiana,IN,2015,34469
steuben county,indiana,IN,2016,34329
steuben county,indiana,IN,2017,34384
steuben county,indiana,IN,2018,34487
steuben county,indiana,IN,2019,34594
sullivan county,indiana,IN,2010,21390
sullivan county,indiana,IN,2011,21218
sullivan county,indiana,IN,2012,21203
sullivan county,indiana,IN,2013,21138
sullivan county,indiana,IN,2014,20995
sullivan county,indiana,IN,2015,20874
sullivan county,indiana,IN,2016,20710
sullivan county,indiana,IN,2017,20700
sullivan county,indiana,IN,2018,20696
sullivan county,indiana,IN,2019,20669
switzerland county,indiana,IN,2010,10717
switzerland county,indiana,IN,2011,10632
switzerland county,indiana,IN,2012,10462
switzerland county,indiana,IN,2013,10598
switzerland county,indiana,IN,2014,10564
switzerland county,indiana,IN,2015,10614
switzerland county,indiana,IN,2016,10641
switzerland county,indiana,IN,2017,10686
switzerland county,indiana,IN,2018,10731
switzerland county,indiana,IN,2019,10751
tippecanoe county,indiana,IN,2010,173104
tippecanoe county,indiana,IN,2011,175861
tippecanoe county,indiana,IN,2012,179124
tippecanoe county,indiana,IN,2013,181953
tippecanoe county,indiana,IN,2014,184433
tippecanoe county,indiana,IN,2015,186723
tippecanoe county,indiana,IN,2016,190292
tippecanoe county,indiana,IN,2017,191199
tippecanoe county,indiana,IN,2018,193817
tippecanoe county,indiana,IN,2019,195732
tipton county,indiana,IN,2010,15878
tipton county,indiana,IN,2011,15816
tipton county,indiana,IN,2012,15659
tipton county,indiana,IN,2013,15544
tipton county,indiana,IN,2014,15405
tipton county,indiana,IN,2015,15249
tipton county,indiana,IN,2016,15163
tipton county,indiana,IN,2017,15137
tipton county,indiana,IN,2018,15112
tipton county,indiana,IN,2019,15148
union county,indiana,IN,2010,7537
union county,indiana,IN,2011,7496
union county,indiana,IN,2012,7352
union county,indiana,IN,2013,7307
union county,indiana,IN,2014,7241
union county,indiana,IN,2015,7185
union county,indiana,IN,2016,7139
union county,indiana,IN,2017,7159
union county,indiana,IN,2018,7029
union county,indiana,IN,2019,7054
vanderburgh county,indiana,IN,2010,179842
vanderburgh county,indiana,IN,2011,180468
vanderburgh county,indiana,IN,2012,181040
vanderburgh county,indiana,IN,2013,181580
vanderburgh county,indiana,IN,2014,181934
vanderburgh county,indiana,IN,2015,181504
vanderburgh county,indiana,IN,2016,181427
vanderburgh county,indiana,IN,2017,180954
vanderburgh county,indiana,IN,2018,181120
vanderburgh county,indiana,IN,2019,181451
vermillion county,indiana,IN,2010,16116
vermillion county,indiana,IN,2011,16072
vermillion county,indiana,IN,2012,15923
vermillion county,indiana,IN,2013,15852
vermillion county,indiana,IN,2014,15659
vermillion county,indiana,IN,2015,15593
vermillion county,indiana,IN,2016,15593
vermillion county,indiana,IN,2017,15503
vermillion county,indiana,IN,2018,15510
vermillion county,indiana,IN,2019,15498
vigo county,indiana,IN,2010,107888
vigo county,indiana,IN,2011,108330
vigo county,indiana,IN,2012,108523
vigo county,indiana,IN,2013,108200
vigo county,indiana,IN,2014,107920
vigo county,indiana,IN,2015,107533
vigo county,indiana,IN,2016,107790
vigo county,indiana,IN,2017,107569
vigo county,indiana,IN,2018,107367
vigo county,indiana,IN,2019,107038
wabash county,indiana,IN,2010,32848
wabash county,indiana,IN,2011,32567
wabash county,indiana,IN,2012,32386
wabash county,indiana,IN,2013,32269
wabash county,indiana,IN,2014,32100
wabash county,indiana,IN,2015,31860
wabash county,indiana,IN,2016,31513
wabash county,indiana,IN,2017,31380
wabash county,indiana,IN,2018,31198
wabash county,indiana,IN,2019,30996
warren county,indiana,IN,2010,8521
warren county,indiana,IN,2011,8470
warren county,indiana,IN,2012,8392
warren county,indiana,IN,2013,8369
warren county,indiana,IN,2014,8339
warren county,indiana,IN,2015,8270
warren county,indiana,IN,2016,8165
warren county,indiana,IN,2017,8204
warren county,indiana,IN,2018,8280
warren county,indiana,IN,2019,8265
warrick county,indiana,IN,2010,59839
warrick county,indiana,IN,2011,60201
warrick county,indiana,IN,2012,60347
warrick county,indiana,IN,2013,60852
warrick county,indiana,IN,2014,60956
warrick county,indiana,IN,2015,61522
warrick county,indiana,IN,2016,62005
warrick county,indiana,IN,2017,62401
warrick county,indiana,IN,2018,62474
warrick county,indiana,IN,2019,62998
washington county,indiana,IN,2010,28292
washington county,indiana,IN,2011,28196
washington county,indiana,IN,2012,27913
washington county,indiana,IN,2013,27779
washington county,indiana,IN,2014,27886
washington county,indiana,IN,2015,27774
washington county,indiana,IN,2016,27728
washington county,indiana,IN,2017,27771
washington county,indiana,IN,2018,27932
washington county,indiana,IN,2019,28036
wayne county,indiana,IN,2010,68889
wayne county,indiana,IN,2011,68636
wayne county,indiana,IN,2012,68224
wayne county,indiana,IN,2013,67785
wayne county,indiana,IN,2014,67378
wayne county,indiana,IN,2015,66972
wayne county,indiana,IN,2016,66630
wayne county,indiana,IN,2017,66179
wayne county,indiana,IN,2018,66046
wayne county,indiana,IN,2019,65884
wells county,indiana,IN,2010,27682
wells county,indiana,IN,2011,27738
wells county,indiana,IN,2012,27707
wells county,indiana,IN,2013,27715
wells county,indiana,IN,2014,27814
wells county,indiana,IN,2015,27851
wells county,indiana,IN,2016,27865
wells county,indiana,IN,2017,27958
wells county,indiana,IN,2018,28083
wells county,indiana,IN,2019,28296
white county,indiana,IN,2010,24683
white county,indiana,IN,2011,24592
white county,indiana,IN,2012,24466
white county,indiana,IN,2013,24401
white county,indiana,IN,2014,24433
white county,indiana,IN,2015,24274
white county,indiana,IN,2016,24074
white county,indiana,IN,2017,24163
white county,indiana,IN,2018,24133
white county,indiana,IN,2019,24102
whitley county,indiana,IN,2010,33353
whitley county,indiana,IN,2011,33358
whitley county,indiana,IN,2012,33335
whitley county,indiana,IN,2013,33283
whitley county,indiana,IN,2014,33444
whitley county,indiana,IN,2015,33444
whitley county,indiana,IN,2016,33475
whitley county,indiana,IN,2017,33722
whitley county,indiana,IN,2018,34047
whitley county,indiana,IN,2019,33964
adair county,iowa,IA,2010,7679
adair county,iowa,IA,2011,7546
adair county,iowa,IA,2012,7468
adair county,iowa,IA,2013,7387
adair county,iowa,IA,2014,7368
adair county,iowa,IA,2015,7145
adair county,iowa,IA,2016,7005
adair county,iowa,IA,2017,7051
adair county,iowa,IA,2018,7074
adair county,iowa,IA,2019,7152
adams county,iowa,IA,2010,4023
adams county,iowa,IA,2011,3994
adams county,iowa,IA,2012,3910
adams county,iowa,IA,2013,3891
adams county,iowa,IA,2014,3877
adams county,iowa,IA,2015,3754
adams county,iowa,IA,2016,3692
adams county,iowa,IA,2017,3657
adams county,iowa,IA,2018,3644
adams county,iowa,IA,2019,3602
allamakee county,iowa,IA,2010,14378
allamakee county,iowa,IA,2011,14222
allamakee county,iowa,IA,2012,14149
allamakee county,iowa,IA,2013,14071
allamakee county,iowa,IA,2014,14062
allamakee county,iowa,IA,2015,13874
allamakee county,iowa,IA,2016,13851
allamakee county,iowa,IA,2017,13803
allamakee county,iowa,IA,2018,13852
allamakee county,iowa,IA,2019,13687
appanoose county,iowa,IA,2010,12856
appanoose county,iowa,IA,2011,12848
appanoose county,iowa,IA,2012,12707
appanoose county,iowa,IA,2013,12654
appanoose county,iowa,IA,2014,12671
appanoose county,iowa,IA,2015,12577
appanoose county,iowa,IA,2016,12505
appanoose county,iowa,IA,2017,12353
appanoose county,iowa,IA,2018,12401
appanoose county,iowa,IA,2019,12426
audubon county,iowa,IA,2010,6098
audubon county,iowa,IA,2011,6004
audubon county,iowa,IA,2012,5865
audubon county,iowa,IA,2013,5863
audubon county,iowa,IA,2014,5771
audubon county,iowa,IA,2015,5711
audubon county,iowa,IA,2016,5626
audubon county,iowa,IA,2017,5550
audubon county,iowa,IA,2018,5471
audubon county,iowa,IA,2019,5496
benton county,iowa,IA,2010,26046
benton county,iowa,IA,2011,26078
benton county,iowa,IA,2012,25830
benton county,iowa,IA,2013,25699
benton county,iowa,IA,2014,25623
benton county,iowa,IA,2015,25608
benton county,iowa,IA,2016,25644
benton county,iowa,IA,2017,25656
benton county,iowa,IA,2018,25625
benton county,iowa,IA,2019,25645
black hawk county,iowa,IA,2010,131162
black hawk county,iowa,IA,2011,131584
black hawk county,iowa,IA,2012,131878
black hawk county,iowa,IA,2013,132933
black hawk county,iowa,IA,2014,133390
black hawk county,iowa,IA,2015,133701
black hawk county,iowa,IA,2016,133077
black hawk county,iowa,IA,2017,132238
black hawk county,iowa,IA,2018,131723
black hawk county,iowa,IA,2019,131228
boone county,iowa,IA,2010,26271
boone county,iowa,IA,2011,26288
boone county,iowa,IA,2012,26136
boone county,iowa,IA,2013,26284
boone county,iowa,IA,2014,26290
boone county,iowa,IA,2015,26443
boone county,iowa,IA,2016,26416
boone county,iowa,IA,2017,26443
boone county,iowa,IA,2018,26312
boone county,iowa,IA,2019,26234
bremer county,iowa,IA,2010,24295
bremer county,iowa,IA,2011,24381
bremer county,iowa,IA,2012,24496
bremer county,iowa,IA,2013,24579
bremer county,iowa,IA,2014,24670
bremer county,iowa,IA,2015,24746
bremer county,iowa,IA,2016,24747
bremer county,iowa,IA,2017,24823
bremer county,iowa,IA,2018,24941
bremer county,iowa,IA,2019,25062
buchanan county,iowa,IA,2010,20974
buchanan county,iowa,IA,2011,20911
buchanan county,iowa,IA,2012,20994
buchanan county,iowa,IA,2013,21026
buchanan county,iowa,IA,2014,21131
buchanan county,iowa,IA,2015,21105
buchanan county,iowa,IA,2016,21007
buchanan county,iowa,IA,2017,21126
buchanan county,iowa,IA,2018,21178
buchanan county,iowa,IA,2019,21175
buena vista county,iowa,IA,2010,20356
buena vista county,iowa,IA,2011,20311
buena vista county,iowa,IA,2012,20561
buena vista county,iowa,IA,2013,20649
buena vista county,iowa,IA,2014,20606
buena vista county,iowa,IA,2015,20374
buena vista county,iowa,IA,2016,20325
buena vista county,iowa,IA,2017,20144
buena vista county,iowa,IA,2018,19826
buena vista county,iowa,IA,2019,19620
butler county,iowa,IA,2010,14916
butler county,iowa,IA,2011,14966
butler county,iowa,IA,2012,14971
butler county,iowa,IA,2013,14975
butler county,iowa,IA,2014,14959
butler county,iowa,IA,2015,14881
butler county,iowa,IA,2016,14702
butler county,iowa,IA,2017,14592
butler county,iowa,IA,2018,14525
butler county,iowa,IA,2019,14439
calhoun county,iowa,IA,2010,10160
calhoun county,iowa,IA,2011,10064
calhoun county,iowa,IA,2012,9913
calhoun county,iowa,IA,2013,9898
calhoun county,iowa,IA,2014,9845
calhoun county,iowa,IA,2015,9801
calhoun county,iowa,IA,2016,9811
calhoun county,iowa,IA,2017,9729
calhoun county,iowa,IA,2018,9711
calhoun county,iowa,IA,2019,9668
carroll county,iowa,IA,2010,20824
carroll county,iowa,IA,2011,20860
carroll county,iowa,IA,2012,20654
carroll county,iowa,IA,2013,20541
carroll county,iowa,IA,2014,20499
carroll county,iowa,IA,2015,20423
carroll county,iowa,IA,2016,20388
carroll county,iowa,IA,2017,20274
carroll county,iowa,IA,2018,20153
carroll county,iowa,IA,2019,20165
cass county,iowa,IA,2010,13928
cass county,iowa,IA,2011,13765
cass county,iowa,IA,2012,13700
cass county,iowa,IA,2013,13572
cass county,iowa,IA,2014,13395
cass county,iowa,IA,2015,13351
cass county,iowa,IA,2016,13176
cass county,iowa,IA,2017,13144
cass county,iowa,IA,2018,12948
cass county,iowa,IA,2019,12836
cedar county,iowa,IA,2010,18450
cedar county,iowa,IA,2011,18358
cedar county,iowa,IA,2012,18296
cedar county,iowa,IA,2013,18226
cedar county,iowa,IA,2014,18276
cedar county,iowa,IA,2015,18254
cedar county,iowa,IA,2016,18348
cedar county,iowa,IA,2017,18490
cedar county,iowa,IA,2018,18564
cedar county,iowa,IA,2019,18627
cerro gordo county,iowa,IA,2010,44097
cerro gordo county,iowa,IA,2011,43971
cerro gordo county,iowa,IA,2012,43699
cerro gordo county,iowa,IA,2013,43528
cerro gordo county,iowa,IA,2014,43206
cerro gordo county,iowa,IA,2015,42983
cerro gordo county,iowa,IA,2016,43096
cerro gordo county,iowa,IA,2017,42999
cerro gordo county,iowa,IA,2018,42642
cerro gordo county,iowa,IA,2019,42450
cherokee county,iowa,IA,2010,12110
cherokee county,iowa,IA,2011,12024
cherokee county,iowa,IA,2012,11951
cherokee county,iowa,IA,2013,11874
cherokee county,iowa,IA,2014,11801
cherokee county,iowa,IA,2015,11483
cherokee county,iowa,IA,2016,11394
cherokee county,iowa,IA,2017,11307
cherokee county,iowa,IA,2018,11295
cherokee county,iowa,IA,2019,11235
chickasaw county,iowa,IA,2010,12410
chickasaw county,iowa,IA,2011,12405
chickasaw county,iowa,IA,2012,12287
chickasaw county,iowa,IA,2013,12274
chickasaw county,iowa,IA,2014,12252
chickasaw county,iowa,IA,2015,12151
chickasaw county,iowa,IA,2016,12094
chickasaw county,iowa,IA,2017,12002
chickasaw county,iowa,IA,2018,11952
chickasaw county,iowa,IA,2019,11933
clarke county,iowa,IA,2010,9320
clarke county,iowa,IA,2011,9317
clarke county,iowa,IA,2012,9341
clarke county,iowa,IA,2013,9245
clarke county,iowa,IA,2014,9196
clarke county,iowa,IA,2015,9219
clarke county,iowa,IA,2016,9288
clarke county,iowa,IA,2017,9396
clarke county,iowa,IA,2018,9502
clarke county,iowa,IA,2019,9395
clay county,iowa,IA,2010,16634
clay county,iowa,IA,2011,16597
clay county,iowa,IA,2012,16539
clay county,iowa,IA,2013,16438
clay county,iowa,IA,2014,16484
clay county,iowa,IA,2015,16498
clay county,iowa,IA,2016,16295
clay county,iowa,IA,2017,16141
clay county,iowa,IA,2018,16106
clay county,iowa,IA,2019,16016
clayton county,iowa,IA,2010,18080
clayton county,iowa,IA,2011,18017
clayton county,iowa,IA,2012,17946
clayton county,iowa,IA,2013,17793
clayton county,iowa,IA,2014,17768
clayton county,iowa,IA,2015,17726
clayton county,iowa,IA,2016,17661
clayton county,iowa,IA,2017,17648
clayton county,iowa,IA,2018,17540
clayton county,iowa,IA,2019,17549
clinton county,iowa,IA,2010,49096
clinton county,iowa,IA,2011,49102
clinton county,iowa,IA,2012,48701
clinton county,iowa,IA,2013,48281
clinton county,iowa,IA,2014,47895
clinton county,iowa,IA,2015,47558
clinton county,iowa,IA,2016,47248
clinton county,iowa,IA,2017,46874
clinton county,iowa,IA,2018,46437
clinton county,iowa,IA,2019,46429
crawford county,iowa,IA,2010,17170
crawford county,iowa,IA,2011,17217
crawford county,iowa,IA,2012,17299
crawford county,iowa,IA,2013,17360
crawford county,iowa,IA,2014,17168
crawford county,iowa,IA,2015,17082
crawford county,iowa,IA,2016,17103
crawford county,iowa,IA,2017,17076
crawford county,iowa,IA,2018,17089
crawford county,iowa,IA,2019,16820
dallas county,iowa,IA,2010,66750
dallas county,iowa,IA,2011,69696
dallas county,iowa,IA,2012,72235
dallas county,iowa,IA,2013,74949
dallas county,iowa,IA,2014,77739
dallas county,iowa,IA,2015,80631
dallas county,iowa,IA,2016,84248
dallas county,iowa,IA,2017,87208
dallas county,iowa,IA,2018,89953
dallas county,iowa,IA,2019,93453
davis county,iowa,IA,2010,8776
davis county,iowa,IA,2011,8771
davis county,iowa,IA,2012,8707
davis county,iowa,IA,2013,8769
davis county,iowa,IA,2014,8756
davis county,iowa,IA,2015,8777
davis county,iowa,IA,2016,8884
davis county,iowa,IA,2017,8969
davis county,iowa,IA,2018,8972
davis county,iowa,IA,2019,9000
decatur county,iowa,IA,2010,8418
decatur county,iowa,IA,2011,8249
decatur county,iowa,IA,2012,8239
decatur county,iowa,IA,2013,8216
decatur county,iowa,IA,2014,8209
decatur county,iowa,IA,2015,8137
decatur county,iowa,IA,2016,8053
decatur county,iowa,IA,2017,7947
decatur county,iowa,IA,2018,7890
decatur county,iowa,IA,2019,7870
delaware county,iowa,IA,2010,17764
delaware county,iowa,IA,2011,17632
delaware county,iowa,IA,2012,17567
delaware county,iowa,IA,2013,17473
delaware county,iowa,IA,2014,17395
delaware county,iowa,IA,2015,17393
delaware county,iowa,IA,2016,17288
delaware county,iowa,IA,2017,17143
delaware county,iowa,IA,2018,17081
delaware county,iowa,IA,2019,17011
des moines county,iowa,IA,2010,40241
des moines county,iowa,IA,2011,40066
des moines county,iowa,IA,2012,40229
des moines county,iowa,IA,2013,40395
des moines county,iowa,IA,2014,40096
des moines county,iowa,IA,2015,39874
des moines county,iowa,IA,2016,39613
des moines county,iowa,IA,2017,39326
des moines county,iowa,IA,2018,39149
des moines county,iowa,IA,2019,38967
dickinson county,iowa,IA,2010,16670
dickinson county,iowa,IA,2011,16859
dickinson county,iowa,IA,2012,16925
dickinson county,iowa,IA,2013,16878
dickinson county,iowa,IA,2014,16840
dickinson county,iowa,IA,2015,17004
dickinson county,iowa,IA,2016,17109
dickinson county,iowa,IA,2017,17141
dickinson county,iowa,IA,2018,17121
dickinson county,iowa,IA,2019,17258
dubuque county,iowa,IA,2010,93929
dubuque county,iowa,IA,2011,94593
dubuque county,iowa,IA,2012,95159
dubuque county,iowa,IA,2013,95945
dubuque county,iowa,IA,2014,96481
dubuque county,iowa,IA,2015,96850
dubuque county,iowa,IA,2016,96763
dubuque county,iowa,IA,2017,97066
dubuque county,iowa,IA,2018,96922
dubuque county,iowa,IA,2019,97311
emmet county,iowa,IA,2010,10276
emmet county,iowa,IA,2011,10089
emmet county,iowa,IA,2012,9944
emmet county,iowa,IA,2013,9880
emmet county,iowa,IA,2014,9821
emmet county,iowa,IA,2015,9702
emmet county,iowa,IA,2016,9581
emmet county,iowa,IA,2017,9422
emmet county,iowa,IA,2018,9277
emmet county,iowa,IA,2019,9208
fayette county,iowa,IA,2010,20860
fayette county,iowa,IA,2011,20976
fayette county,iowa,IA,2012,20774
fayette county,iowa,IA,2013,20519
fayette county,iowa,IA,2014,20290
fayette county,iowa,IA,2015,20142
fayette county,iowa,IA,2016,19858
fayette county,iowa,IA,2017,19687
fayette county,iowa,IA,2018,19679
fayette county,iowa,IA,2019,19650
floyd county,iowa,IA,2010,16309
floyd county,iowa,IA,2011,16095
floyd county,iowa,IA,2012,16087
