year,county_fips,diabetes_percentage,diabetes_lower_limit,diabetes_upper_limit
2010,12077,12,10.3,13.9
2010,12079,12.7,11,14.5
2010,12081,8.7,7.4,10.1
2010,12083,9.4,8,10.9
2010,12085,6.3,5.1,7.6
2010,12086,8.3,7,9.7
2010,12087,6.1,5,7.3
2010,12089,8.6,7.2,10.1
2010,12091,8.8,7.3,10.3
2010,12093,8.9,7.4,10.6
2010,12095,9.5,8.4,10.7
2010,12097,9.3,8,10.6
2010,12099,7.6,6.5,8.7
2010,12101,9,7.7,10.6
2010,12103,8.9,7.6,10.3
2010,12105,10.5,9.1,12.1
2010,12107,12,10.2,13.9
2010,12113,9.5,8,11.1
2010,12115,7.1,6,8.3
2010,12117,10.1,8.7,11.7
2010,12109,6.9,5.8,8.2
2010,12111,10.9,9.3,12.7
2010,12119,8.9,7.4,10.7
2010,12121,10.3,8.6,12
2010,12123,11.6,10,13.4
2010,12125,13.3,11.4,15.5
2010,12127,9.5,8.3,10.9
2010,12129,10.3,8.8,12
2010,12131,9.2,7.8,10.9
2010,12133,12.1,10.4,14
2010,13001,12.7,9.8,16.2
2010,13003,10.9,8.2,14.3
2010,13005,10.3,7.7,13.5
2010,13007,12.5,9.4,16
2010,13009,11,8.6,13.9
2010,13011,10,7.2,13.2
2010,13013,12,9.3,15
2010,13015,11.1,8.8,14.1
2010,13017,12.9,10,15.9
2010,13019,10.7,8.1,13.8
2010,13021,11.2,9.2,13.6
2010,13023,10.9,8.4,14
2010,13025,10.1,7.5,13.3
2010,13027,12.8,9.9,16.3
2010,13029,10.1,7.7,13.1
2010,13031,12.2,9.8,14.8
2010,13033,11.5,8.9,14.7
2010,13035,12.2,9.2,15.8
2010,13037,12.7,9.9,16.4
2010,13039,12.1,9.5,15.2
2010,13043,10.3,7.8,13.4
2010,13045,12.8,10.3,15.9
2010,13047,11.4,8.7,14.3
2010,13049,11.4,8.6,14.7
2010,13051,10.2,8.5,12.1
2010,13053,12,9.3,15.1
2010,13055,10.9,8.2,14.2
2010,13057,8.9,7.3,10.7
2010,13059,11.3,9,13.7
2010,13061,13.7,10.5,17.5
2010,13063,12.5,11,14.3
2010,13065,11.7,8.8,15.5
2010,13067,9.1,7.8,10.6
2010,13069,11.6,9.2,14.6
2010,13071,12,9.5,15
2010,13073,9.4,7.6,11.5
2010,13075,12.5,9.7,15.8
2010,13077,10.8,8.4,13.5
2010,13079,11.1,8.3,14.2
2010,13081,12.6,9.8,15.9
2010,13083,10.3,7.6,13.5
2010,13085,9.6,7,12.8
2010,13087,11.6,9.2,14.6
2010,13089,9.7,8.5,11
2010,13091,14,11.3,17.1
2010,13093,12,9.3,15.2
2010,13095,12,9.7,14.3
2010,13097,11.9,9.4,14.8
2010,13099,11.3,8.6,14.4
2010,13101,10.5,7.8,13.9
2010,13103,9.7,7.4,12.3
2010,13105,12.1,9.2,15.4
2010,13107,10.2,7.8,13.2
2010,13109,13.1,10.1,16.7
2010,13111,10,7.4,12.9
2010,13113,9,7.1,11.1
2010,13115,9.5,7.5,11.7
2010,13117,9.7,7.7,11.9
2010,13119,9.8,7.3,13
2010,13121,8.7,7.5,9.9
2010,13123,9.5,7.1,12.4
2010,13125,10,7.3,13.4
2010,13127,8.6,6.8,10.8
2010,13129,9.8,7.5,12.8
2010,13131,11.1,8.6,14.1
2010,13133,11.5,8.9,14.6
2010,13135,8.2,6.9,9.6
2010,13137,9.5,7,12.2
2010,13139,12,9.5,14.5
2010,13141,14.3,10.8,18.3
2010,13143,10.7,8,13.8
2010,13145,11,8.7,13.8
2010,13147,9.7,7.2,12.7
2010,13149,10.5,7.6,13.8
2010,13151,9.9,8.1,11.9
2010,13153,9.6,7.8,11.6
2010,13155,11,8.2,14.2
2010,13157,8.8,6.7,11.1
2010,13159,10.7,8.1,13.9
2010,13161,10.8,8.2,14.1
2010,13163,12.4,9.6,15.8
2010,13165,11.6,8.8,15.1
2010,13167,12.3,9.5,15.6
2010,13169,11.8,9,14.8
2010,13171,10.6,8.1,13.7
2010,13173,11.2,8.5,14.4
2010,13175,10.6,8.9,12.5
2010,13177,11.1,8.6,14.1
2010,13179,11.8,9.3,14.7
2010,13181,11.1,8.5,14.3
2010,13183,11.1,8.4,14.5
2010,13185,11.8,9.9,13.8
2010,13187,8.6,6.3,11.4
2010,13193,13.3,10.4,16.8
2010,13195,10.6,8,13.8
2010,13197,12.2,9.6,15.5
2010,13189,13.1,10.1,16.4
2010,13191,10.9,8.3,13.9
2010,13199,11.2,8.6,14.5
2010,13201,12.1,9.2,15.6
2010,13205,11.9,9.4,15
2010,13207,10.8,8.2,13.9
2010,13209,11.4,8.8,14.6
2010,13211,11.5,8.9,14.9
2010,13213,11.2,8.6,14.2
2010,13215,12.2,10.5,14.2
2010,13217,11.1,8.7,13.7
2010,13219,8.7,6.7,11.3
2010,13221,10.4,7.8,13.4
2010,13223,11.8,9.4,14.5
2010,13225,12.6,9.6,15.9
2010,13227,9.7,7.2,12.8
2010,13229,11.8,8.9,15.5
2010,13231,10.7,7.9,14.1
2010,13233,12.4,9.6,15.8
2010,13235,11.2,8.5,14.2
2010,13237,11.7,9,14.8
2010,13239,12.6,9.5,16.4
2010,13241,10.6,7.7,14
2010,13243,13.3,10.1,17
2010,13245,11.5,9.7,13.5
2010,13247,12.8,10.2,15.9
2010,13249,11.6,8.7,15.4
2010,13251,11.1,8.5,14.2
2010,13253,11.9,9.1,15.2
2010,13255,11.6,9,14.7
2010,13257,12.9,9.9,16.6
2010,13259,13.7,10.6,17.4
2010,13261,13,10.1,16.3
2010,13263,13.5,10.4,17.1
2010,13265,12.9,9.9,16.4
2010,13267,10.5,8,13.5
2010,13269,11.4,8.7,14.6
2010,13271,11.4,8.9,14.4
2010,13273,12.7,9.8,16.4
2010,13275,11.9,9.6,14.7
2010,13277,12.6,10.1,15.6
2010,13279,12.4,9.6,15.8
2010,13281,9.8,7.1,13.3
2010,13283,11.2,8.6,14.3
2010,13285,12.8,10,16.1
2010,13287,11.7,9,15
2010,13289,12.3,9.4,15.7
2010,13291,10.1,7.5,13.4
2010,13293,11.8,9,15
2010,13295,11.8,9.2,14.7
2010,13297,10.7,8.5,13.2
2010,13299,13.3,10.4,16.6
2010,13301,12.4,9.5,16.1
2010,13303,13.3,10.4,16.7
2010,13305,10.8,8.4,13.7
2010,13307,11.7,8.9,15.3
2010,13309,10.5,8.1,13.4
2010,13311,9.3,6.9,12.3
2010,13313,10.8,8.6,13.2
2010,13315,10.9,8.2,14
2010,13317,13.3,10.3,17
2010,13319,11.7,8.8,15.4
2010,13321,10.6,8.1,13.5
2010,15001,7.3,6.6,8
2010,15003,8.3,7.8,8.8
2010,15005,8.9,6.3,12.1
2010,15007,7.4,6.5,8.5
2010,15009,8,7.3,8.7
2010,16001,7.4,6.5,8.3
2010,16003,8.3,6.2,10.9
2010,16005,9.9,8.6,11.4
2010,16007,7.8,5.8,10.2
2010,16009,9.2,7.1,11.6
2010,16011,11.7,10,13.8
2010,16013,5.3,4,7
2010,16015,8,5.9,10.4
2010,16017,7.4,6,8.9
2010,16019,8.4,7.2,9.6
2010,16021,6.9,5.2,9
2010,16023,7.7,5.5,10.4
2010,16025,7.7,5.5,10.7
2010,16027,9.4,8.2,10.8
2010,16029,7.1,5.2,9.3
2010,16031,9.4,7.6,11.6
2010,16033,8.7,6.3,11.7
2010,16035,8.1,6.4,10.1
2010,16037,7.7,5.7,10.1
2010,16039,9,6.9,11.5
2010,16041,8.3,6.4,10.7
2010,16043,7.9,6,10.2
2010,16045,8,6.2,10.1
2010,16047,8.7,6.8,10.9
2010,16049,8,6.5,9.6
2010,16051,8.5,6.7,10.7
2010,16053,8.9,6.9,11.2
2010,16055,7.5,6.4,8.6
2010,16057,7.9,6.4,9.5
2010,16059,7.8,5.9,10
2010,16061,8.1,6,10.5
2010,16063,7,5.2,9.6
2010,16065,8.4,6.6,10.6
2010,16067,10.2,8.1,12.8
2010,16069,9.9,8.4,11.6
2010,16071,8.1,6,10.6
2010,16073,10.2,7.8,13.1
2010,16075,8,6.2,10
2010,16077,7.8,5.7,10
2010,16079,8.7,6.7,11
2010,16081,7.5,5.5,9.9
2010,16083,8.1,6.8,9.5
2010,16085,7.1,5.2,9.7
2010,16087,9,6.9,11.5
2010,17001,7.9,5.8,10.4
2010,17003,9.7,7.1,12.7
2010,17005,8.8,6.5,11.8
2010,17007,7.9,5.7,10.6
2010,17009,9.1,6.6,12.3
2010,17011,7.9,5.7,10.8
2010,17013,7.9,5.5,10.8
2010,17015,8.8,6.2,12
2010,17017,8.9,6.4,12.2
2010,17019,8.5,6.7,10.8
2010,17021,8.9,6.5,11.8
2010,17023,7.8,5.4,10.6
2010,17025,8.4,6,11.3
2010,17027,7.9,5.9,10.5
2010,17029,7.6,5.6,9.9
2010,17031,9,8.4,9.6
2010,17033,8.5,6,11.5
2010,17035,8.3,5.9,11.4
2010,17039,8.2,5.8,11.2
2010,17037,7.8,5.8,10.4
2010,17041,7.2,5.1,10
2010,17043,7.2,6.1,8.5
2010,17045,9.2,6.7,12.3
2010,17047,8,5.6,10.9
2010,17049,7.8,5.8,10.3
2010,17051,9,6.7,12
2010,17053,8.1,5.6,11.1
2010,17055,9.1,6.6,12.1
2010,17057,7.2,5.3,9.7
2010,17059,8.4,5.7,11.5
2010,17061,8.7,6.1,11.9
2010,17063,8.6,6.1,11.4
2010,17065,7.8,5.4,10.8
2010,17067,8.1,5.7,11
2010,17069,8.4,5.8,11.4
2010,17071,7.9,5.6,11
2010,17073,7.7,5.6,10.5
2010,17075,8.4,6,11.2
2010,17077,8.7,6.5,11.5
2010,17079,8.5,6,11.5
2010,17081,9.4,7,12.2
2010,17083,7.9,5.7,10.6
2010,17085,7.8,5.6,10.4
2010,17087,8.3,6,11.2
2010,17089,8,6.4,9.8
2010,17091,9,6.7,11.5
2010,17093,7.3,5.4,9.7
2010,17095,8.3,6,11.2
2010,17097,7,5.8,8.4
2010,17099,8.6,6.4,11.1
2010,17101,8.8,6.2,11.8
2010,17103,8.9,6.5,11.8
2010,17105,8.6,6.1,11.5
2010,17107,9.1,6.4,12.2
2010,17115,8.7,6.6,11.2
