year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2012,camden,37029,9.9,0.31,1.41,10.06,61.3,1.4,71.68,29.1,30.01,8.5,5.47,19.1,32.3,25.9,TRUE
2013,camden,37029,9.6,0.31,1.58,10.18,61.59,1.4,72.25,29.6,29.59,8.86,5.61,NA,32.3,25.9,TRUE
2014,camden,37029,10.1,0.37,1.58,10.01,61.84,1.57,72.23,29.33,29.6,9.17,5.7,17.2,30.2,24.1,TRUE
2010,carteret,37031,9.2,0.45,0.85,4.71,73.1,2.1,77.01,27.96,32.04,11.15,7.97,26.2,27.3,NA,TRUE
2011,carteret,37031,9.3,0.48,0.91,4.73,73.08,2.18,77.01,27.96,31.72,11.39,8.13,26.3,28.7,25.9,TRUE
2012,carteret,37031,8.7,0.48,1,4.8,73.02,2.21,77.1,27.87,31.07,12.17,8.2,24.3,28.1,28.7,TRUE
2013,carteret,37031,8.2,0.48,1.02,4.79,73.25,2.35,77.19,27.8,30.69,12.73,8.32,22.2,28.1,28.7,TRUE
2014,carteret,37031,8.3,0.49,1.04,4.84,73.45,2.46,77.36,27.47,30.5,13.21,8.64,21.4,29,30.4,TRUE
2010,caswell,37033,11.8,0.35,0.22,27,49.79,1.92,75.44,29.12,32.23,9.52,6.49,35.1,30.1,NA,TRUE
2011,caswell,37033,11,0.37,0.23,27.17,50.24,1.93,76.09,28.92,32.36,9.86,6.88,34.8,30.2,31.4,TRUE
2012,caswell,37033,10.8,0.41,0.28,27.28,50.66,2.02,76.6,28.8,32.15,10.5,7.16,30.3,31,29,TRUE
2013,caswell,37033,10.9,0.44,0.31,27.17,50.89,2.06,76.75,29.03,31.64,10.88,7.25,NA,31,29,TRUE
2014,caswell,37033,10.6,0.48,0.36,27.13,50.95,2.18,76.74,28.56,31.24,11.61,7.52,35.8,32.5,27.9,TRUE
2010,catawba,37035,9.1,0.33,2.16,6.16,65.08,4.8,68.93,31.48,28.03,8.07,6.14,20.1,26.4,NA,FALSE
2011,catawba,37035,10.2,0.33,2.29,6.23,65.24,4.71,69.39,31.16,28.34,8.33,6.27,21.2,27.2,25.1,FALSE
2012,catawba,37035,11.9,0.34,2.38,6.34,65.32,4.75,69.62,30.86,28.2,8.99,6.32,22,26.5,26.7,FALSE
2013,catawba,37035,11.9,0.32,2.52,6.47,65.18,4.76,69.73,30.53,28.16,9.41,6.38,21.5,26.5,26.7,FALSE
2014,catawba,37035,11.2,0.33,2.62,6.53,65.21,4.87,69.81,30.24,28.19,9.73,6.53,22.5,28.4,28.4,FALSE
2010,chatham,37037,8,0.82,0.97,10.6,63.94,7.28,69.05,28.02,29.81,9.98,8.52,23.4,24.6,NA,FALSE
