county_fips,year,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,food_environment_index
08109,2010,NA,20.4,NA,NA
08111,2010,NA,18.4,NA,NA
08113,2010,NA,14.9,NA,NA
08115,2010,NA,20.4,NA,NA
08117,2010,11.9,12.7,NA,NA
08119,2010,20.7,17.9,NA,NA
08121,2010,8.3,19.8,NA,NA
08123,2010,18.2,23,NA,NA
08125,2010,NA,21.5,NA,NA
09001,2010,14.6,17.9,NA,NA
09003,2010,17.4,22.1,NA,NA
09005,2010,18.4,21.1,NA,NA
09007,2010,16.2,21.1,NA,NA
09009,2010,18.4,24,NA,NA
09011,2010,19.5,22.4,NA,NA
09013,2010,17.1,21.1,NA,NA
09015,2010,23,26.6,NA,NA
10001,2010,23.9,31.2,NA,NA
10003,2010,20.2,26.7,NA,NA
10005,2010,22.7,28.9,NA,NA
11001,2010,19.2,22,NA,NA
12001,2010,19.3,24.6,NA,NA
12003,2010,32.1,29.8,NA,NA
12005,2010,23.8,25,NA,NA
12007,2010,26.7,33.2,NA,NA
12009,2010,25.1,23.3,NA,NA
12011,2010,16.5,20.6,NA,NA
12013,2010,NA,29.4,NA,NA
12015,2010,23,23.7,NA,NA
12017,2010,22.4,26.2,NA,NA
12019,2010,27.3,27,NA,NA
12021,2010,16.9,20.9,NA,NA
12023,2010,21.6,29.1,NA,NA
12027,2010,19.3,29.6,NA,NA
12029,2010,22.7,29.7,NA,NA
12031,2010,21.2,27.5,NA,NA
12033,2010,24.8,28.6,NA,NA
12035,2010,21.6,22.7,NA,NA
12037,2010,22.1,26.8,NA,NA
12039,2010,20.9,34.6,NA,NA
12041,2010,21.4,30.3,NA,NA
12043,2010,NA,32.1,NA,NA
12045,2010,26.4,25.5,NA,NA
12047,2010,NA,32.2,NA,NA
12049,2010,20.2,35.8,NA,NA
12051,2010,19.8,31.6,NA,NA
12053,2010,25.3,25.4,NA,NA
12055,2010,20.3,25.3,NA,NA
12057,2010,23.1,25.2,NA,NA
12059,2010,26.2,29.7,NA,NA
12061,2010,17.3,21.2,NA,NA
12063,2010,22.4,30.2,NA,NA
12065,2010,22.4,29.6,NA,NA
12067,2010,19.2,31.6,NA,NA
12069,2010,20.5,24.3,NA,NA
12071,2010,24.7,24.9,NA,NA
12073,2010,18.4,26.1,NA,NA
12075,2010,21.9,28,NA,NA
12077,2010,NA,34.1,NA,NA
12079,2010,27.7,31.5,NA,NA
12081,2010,19.1,22.7,NA,NA
12083,2010,23.5,25,NA,NA
12085,2010,19.7,20.3,NA,NA
12086,2010,15.8,20.5,NA,NA
12087,2010,25.3,20.8,NA,NA
12089,2010,21.9,24.6,NA,NA
12091,2010,21.8,23.5,NA,NA
12093,2010,26,29.9,NA,NA
12095,2010,17.6,23,NA,NA
12097,2010,21,25.1,NA,NA
12099,2010,18.8,19.3,NA,NA
12101,2010,22.5,23.9,NA,NA
12103,2010,21.3,26.3,NA,NA
12105,2010,22.5,30.1,NA,NA
12107,2010,28.2,29.4,NA,NA
12109,2010,18.7,21.6,NA,NA
12111,2010,26.6,26,NA,NA
12113,2010,28,21.9,NA,NA
12115,2010,19.4,20.1,NA,NA
12117,2010,19.5,24.2,NA,NA
12119,2010,16.4,27.1,NA,NA
12121,2010,30.6,30.6,NA,NA
12123,2010,32.8,30.5,NA,NA
12125,2010,31.2,34.5,NA,NA
12127,2010,27.5,24.5,NA,NA
12129,2010,31.7,28.9,NA,NA
12131,2010,27.1,26.2,NA,NA
12133,2010,24.4,29.3,NA,NA
13001,2010,22.1,30.2,NA,NA
13003,2010,17.8,28.5,NA,NA
13005,2010,NA,28.7,NA,NA
13007,2010,NA,32.5,NA,NA
13009,2010,17.9,31,NA,NA
13011,2010,NA,29.1,NA,NA
13013,2010,29.1,28,NA,NA
13015,2010,29.5,26.9,NA,NA
13017,2010,25.9,30.8,NA,NA
13019,2010,35,31.3,NA,NA
13021,2010,22.3,30.8,NA,NA
13023,2010,19.9,29.8,NA,NA
13025,2010,24.4,27.4,NA,NA
13027,2010,16.6,31.7,NA,NA
13029,2010,25.7,27.8,NA,NA
13031,2010,23.3,29.2,NA,NA
13033,2010,18.5,32.8,NA,NA
13035,2010,NA,29.1,NA,NA
13037,2010,NA,33.3,NA,NA
13039,2010,23.1,28.5,NA,NA
13043,2010,NA,30.4,NA,NA
13045,2010,19.4,30.8,NA,NA
13047,2010,30.3,29.6,NA,NA
