county_fips,pct_rural,rural
13225,36.36,Mostly Urban
13227,80.26,Mostly Rural
13229,75.17,Mostly Rural
13231,100,Rural
13233,51.05,Mostly Rural
13235,52.66,Mostly Rural
13237,82.75,Mostly Rural
13239,66.1,Mostly Rural
13241,100,Rural
13243,55.56,Mostly Rural
13245,7.18,Mostly Urban
13247,15.32,Mostly Urban
13249,100,Rural
13251,81.77,Mostly Rural
13253,77.41,Mostly Rural
13255,39.02,Mostly Urban
13257,60.99,Mostly Rural
13259,100,Rural
13261,43.61,Mostly Urban
13263,100,Rural
13265,100,Rural
13267,81.11,Mostly Rural
13269,100,Rural
13271,62.29,Mostly Rural
13273,56.93,Mostly Rural
13275,49.52,Mostly Urban
13277,44.16,Mostly Urban
13279,51.39,Mostly Rural
13281,100,Rural
13283,58.74,Mostly Rural
13285,42.17,Mostly Urban
13287,47.83,Mostly Urban
13289,100,Rural
13291,100,Rural
13293,43.06,Mostly Urban
13295,41.55,Mostly Urban
13297,58.28,Mostly Rural
13299,27.44,Mostly Urban
13301,100,Rural
13303,63.3,Mostly Rural
13305,54.88,Mostly Rural
13307,100,Rural
13309,100,Rural
13311,100,Rural
13313,32.38,Mostly Urban
13315,100,Rural
13317,69.1,Mostly Rural
13319,100,Rural
13321,70.78,Mostly Rural
15001,42.85,Mostly Urban
15003,1.43,Mostly Urban
15005,100,Rural
15007,24.7,Mostly Urban
15009,14.62,Mostly Urban
16001,6.11,Mostly Urban
16003,100,Rural
16005,15.88,Mostly Urban
16007,64.78,Mostly Rural
16009,70.27,Mostly Rural
16011,56.83,Mostly Rural
16013,42.86,Mostly Urban
16015,100,Rural
16017,80.25,Mostly Rural
16019,17.85,Mostly Urban
16021,71.18,Mostly Rural
16023,100,Rural
16025,100,Rural
16027,26.04,Mostly Urban
16029,57.53,Mostly Rural
16031,53.01,Mostly Rural
16033,100,Rural
16035,61.75,Mostly Rural
16037,100,Rural
16039,31.36,Mostly Urban
16041,68.39,Mostly Rural
16043,81.89,Mostly Rural
16045,43.97,Mostly Urban
16047,73.08,Mostly Rural
16049,80.43,Mostly Rural
16051,79.55,Mostly Rural
16053,54.66,Mostly Rural
16055,30.38,Mostly Urban
16057,40.28,Mostly Urban
16059,62.4,Mostly Rural
16061,100,Rural
16063,100,Rural
16065,34.05,Mostly Urban
16067,53.87,Mostly Rural
16069,17.3,Mostly Urban
16071,100,Rural
16073,77.43,Mostly Rural
16075,41.5,Mostly Urban
16077,44.48,Mostly Urban
16079,76.26,Mostly Rural
16081,100,Rural
16083,30.88,Mostly Urban
16085,100,Rural
16087,45.51,Mostly Urban
17001,31.94,Mostly Urban
17003,55.37,Mostly Rural
17005,67.34,Mostly Rural
17007,31.23,Mostly Urban
17009,56.72,Mostly Rural
17011,60.37,Mostly Rural
17013,100,Rural
17015,77.68,Mostly Rural
17017,56.85,Mostly Rural
17019,14.34,Mostly Urban
17021,43.84,Mostly Urban
17023,56.42,Mostly Rural
17025,64.03,Mostly Rural
17027,43.09,Mostly Urban
17029,23.55,Mostly Urban
17031,0.08,Mostly Urban
17033,60.3,Mostly Rural
17035,100,Rural
17037,23.06,Mostly Urban
17039,50.15,Mostly Rural
17041,60.76,Mostly Rural
17043,0.11,Mostly Urban
17045,49.81,Mostly Urban
17047,100,Rural
17049,55.66,Mostly Rural
17051,68.02,Mostly Rural
17053,41.17,Mostly Urban
17055,45.08,Mostly Urban
17057,56.22,Mostly Rural
17059,100,Rural
17061,67.59,Mostly Rural
17063,37.71,Mostly Urban
17065,64.62,Mostly Rural
17067,70.51,Mostly Rural
17069,100,Rural
17071,98.67,Mostly Rural
17073,42.29,Mostly Urban
17075,72.47,Mostly Rural
17077,36.36,Mostly Urban
17079,64.28,Mostly Rural
17081,50.66,Mostly Rural
17083,59.96,Mostly Rural
17085,74.1,Mostly Rural
17087,99.58,Mostly Rural
17089,6.41,Mostly Urban
17091,25.8,Mostly Urban
17093,24.79,Mostly Urban
17095,25.82,Mostly Urban
17097,1.99,Mostly Urban
17099,27.21,Mostly Urban
17101,48.1,Mostly Urban
17103,44.96,Mostly Urban
17105,42.52,Mostly Urban
17107,44.69,Mostly Urban
17109,33.45,Mostly Urban
17111,12.32,Mostly Urban
17113,22.5,Mostly Urban
17115,14.65,Mostly Urban
17117,58.09,Mostly Rural
17119,12.99,Mostly Urban
17121,39.8,Mostly Urban
17123,81.65,Mostly Rural
17125,59.08,Mostly Rural
17127,44.91,Mostly Urban
17129,72.6,Mostly Rural
17131,77.72,Mostly Rural
17133,42.56,Mostly Urban
17135,42.29,Mostly Urban
17137,35.73,Mostly Urban
17139,64.97,Mostly Rural
17141,46.66,Mostly Urban
17143,13.47,Mostly Urban
17145,48.79,Mostly Urban
17147,67.28,Mostly Rural
17149,75.47,Mostly Rural
17151,100,Rural
17153,100,Rural
17155,100,Rural
17157,47.1,Mostly Urban
17159,42.19,Mostly Urban
17161,10.11,Mostly Urban
17163,10.22,Mostly Urban
17165,34.97,Mostly Urban
17167,12.8,Mostly Urban
17169,53.27,Mostly Rural
17171,100,Rural
17173,76.45,Mostly Rural
17175,100,Rural
17177,36.02,Mostly Urban
17179,17.89,Mostly Urban
17181,60.68,Mostly Rural
17183,28.27,Mostly Urban
17185,38.02,Mostly Urban
17187,47.43,Mostly Urban
17189,77.79,Mostly Rural
17191,66.53,Mostly Rural
17193,62.53,Mostly Rural
17195,33.51,Mostly Urban
17197,6.93,Mostly Urban
17199,33.26,Mostly Urban
17201,7.88,Mostly Urban
17203,59.97,Mostly Rural
18001,49.11,Mostly Urban
18003,11.44,Mostly Urban
18005,29.81,Mostly Urban
18007,100,Rural
18009,47.98,Mostly Urban
